experiment_id,bank_condition,query_id,query_version,retrieval_method,rank,memory_id,semantic_similarity,state_alignment,context_alignment,experience_alignment,final_ranking_score,readmitted
RQ1_20260914T175757Z,normal,Q004,shifted,baseline,2,M059745,0.9982020854949951,0.8503401360544218,,,,>30
RQ1_20260914T175757Z,normal,Q004,shifted,baseline,3,M059135,0.9978526830673218,0.8217687074829932,,,,NO
RQ1_20260914T175757Z,normal,Q004,shifted,baseline,4,M039907,0.9973300099372864,0.6884353741496599,,,,>30
RQ1_20260914T175757Z,normal,Q004,shifted,baseline,5,M069349,0.9972748756408691,0.8312925170068028,,,,>30
RQ1_20260914T175757Z,normal,Q004,shifted,sacr,1,M050078,1.0,0.8571428571428571,1.0,1.0,1.0,>30
RQ1_20260914T175757Z,normal,Q004,shifted,sacr,2,M059745,0.9982020854949951,0.8503401360544218,0.9780219780219781,1.0,0.9934267997741699,>30
RQ1_20260914T175757Z,normal,Q004,shifted,sacr,3,M049322,0.9965438842773438,0.8312925170068028,0.9580089757570673,1.0,0.9874286651611328,<30
RQ1_20260914T175757Z,normal,Q004,shifted,sacr,4,M059135,0.9978526830673218,0.8217687074829932,0.9417215418169617,1.0,0.9841419458389282,NO
RQ1_20260914T175757Z,normal,Q004,shifted,sacr,5,M091738,0.9967393279075623,0.8312925170068028,0.9236400050331348,1.0,0.9789535999298096,>30
RQ1_20260914T175757Z,normal,Q005,base,baseline,1,M044080,1.0,0.9931972789115646,,,,<30
RQ1_20260914T175757Z,normal,Q005,base,baseline,2,M094262,0.9996137619018555,0.545578231292517,,,,NO
RQ1_20260914T175757Z,normal,Q005,base,baseline,3,M054662,0.999446451663971,0.6952380952380953,,,,>30
RQ1_20260914T175757Z,normal,Q005,base,baseline,4,M075292,0.999291181564331,0.6884353741496599,,,,NO
RQ1_20260914T175757Z,normal,Q005,base,baseline,5,M065819,0.9992685317993164,0.6884353741496599,,,,NO
RQ1_20260914T175757Z,normal,Q005,base,sacr,1,M044080,1.0,0.9931972789115646,1.0,1.0,1.0,<30
RQ1_20260914T175757Z,normal,Q005,base,sacr,2,M084721,0.9992156624794006,0.834013605442177,0.9945474372955289,1.0,0.9981663227081299,NO
RQ1_20260914T175757Z,normal,Q005,base,sacr,3,M047189,0.9991359114646912,0.7108843537414966,0.9931570338058887,1.0,0.9977707862854004,NO
RQ1_20260914T175757Z,normal,Q005,base,sacr,4,M054335,0.998910665512085,0.8312925170068028,0.9934569247546347,1.0,0.9977105855941772,>30
RQ1_20260914T175757Z,normal,Q005,base,sacr,5,M095999,0.9986827373504639,0.7074829931972789,0.9858233369683751,1.0,0.9956655502319336,NO
RQ1_20260914T175757Z,normal,Q005,shifted,baseline,1,M044080,1.0,0.9659863945578231,,,,<30
RQ1_20260914T175757Z,normal,Q005,shifted,baseline,2,M094262,0.9996137619018555,0.5183673469387755,,,,NO
RQ1_20260914T175757Z,normal,Q005,shifted,baseline,3,M054662,0.999446451663971,0.6680272108843537,,,,>30
RQ1_20260914T175757Z,normal,Q005,shifted,baseline,4,M075292,0.999291181564331,0.6612244897959183,,,,NO
RQ1_20260914T175757Z,normal,Q005,shifted,baseline,5,M065819,0.9992685317993164,0.6612244897959183,,,,NO
RQ1_20260914T175757Z,normal,Q005,shifted,sacr,1,M044080,1.0,0.9659863945578231,1.0,1.0,1.0,<30
RQ1_20260914T175757Z,normal,Q005,shifted,sacr,2,M084721,0.9992156624794006,0.8068027210884354,0.9945474372955289,1.0,0.9981663227081299,NO
RQ1_20260914T175757Z,normal,Q005,shifted,sacr,3,M054335,0.998910665512085,0.8040816326530612,0.9934569247546347,1.0,0.9977105855941772,>30
RQ1_20260914T175757Z,normal,Q005,shifted,sacr,4,M099801,0.9989891648292542,0.9527031865377731,0.9836423118865867,1.0,0.9953041076660156,>30
RQ1_20260914T175757Z,normal,Q005,shifted,sacr,5,M021069,0.9986882209777832,0.7850340136054422,0.9774945474372955,1.0,0.993586540222168,NO
RQ1_20260914T175757Z,normal,Q006,base,baseline,1,M004727,1.0,0.9981203007518796,,,,NO
RQ1_20260914T175757Z,normal,Q006,base,baseline,2,M089503,0.9993441104888916,0.7885964912280701,,,,NO
RQ1_20260914T175757Z,normal,Q006,base,baseline,3,M005660,0.9993368983268738,0.6838345864661655,,,,NO
RQ1_20260914T175757Z,normal,Q006,base,baseline,4,M030213,0.9992878437042236,0.6484604368063014,,,,NO
RQ1_20260914T175757Z,normal,Q006,base,baseline,5,M007441,0.9992638230323792,0.7981203007518796,,,,>30
RQ1_20260914T175757Z,normal,Q006,base,sacr,1,M004727,1.0,0.9981203007518796,1.0,1.0,1.0,NO
RQ1_20260914T175757Z,normal,Q006,base,sacr,2,M016297,0.9977824687957764,0.8171679197994987,0.9870092693565977,1.0,0.9954218864440918,NO
RQ1_20260914T175757Z,normal,Q006,base,sacr,3,M014732,0.9978636503219604,0.7885964912280701,0.9806821994799094,1.0,0.9938887357711792,NO
RQ1_20260914T175757Z,normal,Q006,base,sacr,4,M090795,0.998614490032196,0.7802721088435375,0.9785850599781897,1.0,0.9938149452209473,NO
RQ1_20260914T175757Z,normal,Q006,base,sacr,5,M089503,0.9993441104888916,0.7885964912280701,0.9760087241003271,1.0,0.9936087131500244,NO
RQ1_20260914T175757Z,normal,Q006,shifted,baseline,1,M004727,1.0,0.9906015037593985,,,,NO
RQ1_20260914T175757Z,normal,Q006,shifted,baseline,2,M089503,0.9993441104888916,0.7810776942355889,,,,NO
RQ1_20260914T175757Z,normal,Q006,shifted,baseline,3,M005660,0.9993368983268738,0.6763157894736842,,,,NO
RQ1_20260914T175757Z,normal,Q006,shifted,baseline,4,M030213,0.9992878437042236,0.6409416398138202,,,,NO
RQ1_20260914T175757Z,normal,Q006,shifted,baseline,5,M007441,0.9992638230323792,0.7906015037593984,,,,>30
RQ1_20260914T175757Z,normal,Q006,shifted,sacr,1,M004727,1.0,0.9906015037593985,1.0,1.0,1.0,NO
RQ1_20260914T175757Z,normal,Q006,shifted,sacr,2,M016297,0.9977824687957764,0.8096491228070175,0.9870092693565977,1.0,0.9954218864440918,NO
RQ1_20260914T175757Z,normal,Q006,shifted,sacr,3,M014732,0.9978636503219604,0.7810776942355889,0.9806821994799094,1.0,0.9938887357711792,NO
RQ1_20260914T175757Z,normal,Q006,shifted,sacr,4,M090795,0.998614490032196,0.7727533118510562,0.9785850599781897,1.0,0.9938149452209473,NO
RQ1_20260914T175757Z,normal,Q006,shifted,sacr,5,M089503,0.9993441104888916,0.7810776942355889,0.9760087241003271,1.0,0.9936087131500244,NO
RQ1_20260914T175757Z,normal,Q007,base,baseline,1,M029944,1.000000238418579,1.0,,,,NO
RQ1_20260914T175757Z,normal,Q007,base,baseline,2,M003164,0.9993074536323547,0.6761904761904762,,,,>30
RQ1_20260914T175757Z,normal,Q007,base,baseline,3,M030690,0.9987031817436218,0.8476190476190476,,,,>30
RQ1_20260914T175757Z,normal,Q007,base,baseline,4,M010909,0.9986845850944519,0.8312925170068028,,,,>30
RQ1_20260914T175757Z,normal,Q007,base,baseline,5,M035734,0.9985516667366028,0.819047619047619,,,,>30
RQ1_20260914T175757Z,normal,Q007,base,sacr,1,M029944,1.000000238418579,1.0,1.0,1.0,1.0000001192092896,NO
RQ1_20260914T175757Z,normal,Q007,base,sacr,2,M030690,0.9987031817436218,0.8476190476190476,0.9678616866593964,1.0,0.991187334060669,>30
RQ1_20260914T175757Z,normal,Q007,base,sacr,3,M003265,0.9979531168937683,0.8244897959183675,0.9533966669462852,1.0,0.9871209859848022,<30
RQ1_20260914T175757Z,normal,Q007,base,sacr,4,M041095,0.9984678626060486,0.8285714285714285,0.9506410256410256,1.0,0.9867409467697144,NO
RQ1_20260914T175757Z,normal,Q007,base,sacr,5,M035734,0.9985516667366028,0.819047619047619,0.9494299275787824,1.0,0.9864885807037354,>30
RQ1_20260914T175757Z,normal,Q007,shifted,baseline,1,M029944,1.000000238418579,0.9619047619047619,,,,NO
RQ1_20260914T175757Z,normal,Q007,shifted,baseline,2,M003164,0.9993074536323547,0.7142857142857143,,,,>30
RQ1_20260914T175757Z,normal,Q007,shifted,baseline,3,M030690,0.9987031817436218,0.8285714285714285,,,,>30
RQ1_20260914T175757Z,normal,Q007,shifted,baseline,4,M010909,0.9986845850944519,0.8312925170068028,,,,>30
RQ1_20260914T175757Z,normal,Q007,shifted,baseline,5,M035734,0.9985516667366028,0.8571428571428571,,,,>30
RQ1_20260914T175757Z,normal,Q007,shifted,sacr,1,M029944,1.000000238418579,0.9619047619047619,1.0,1.0,1.0000001192092896,NO
RQ1_20260914T175757Z,normal,Q007,shifted,sacr,2,M030690,0.9987031817436218,0.8285714285714285,0.9678616866593964,1.0,0.991187334060669,>30
RQ1_20260914T175757Z,normal,Q007,shifted,sacr,3,M003265,0.9979531168937683,0.8244897959183675,0.9533966669462852,1.0,0.9871209859848022,<30
RQ1_20260914T175757Z,normal,Q007,shifted,sacr,4,M041095,0.9984678626060486,0.8476190476190476,0.9506410256410256,1.0,0.9867409467697144,NO
RQ1_20260914T175757Z,normal,Q007,shifted,sacr,5,M035734,0.9985516667366028,0.8571428571428571,0.9494299275787824,1.0,0.9864885807037354,>30
RQ1_20260914T175757Z,normal,Q008,base,baseline,1,M084575,1.0000001192092896,0.8571428571428571,,,,>30
RQ1_20260914T175757Z,normal,Q008,base,baseline,2,M077672,1.0000001192092896,0.6994808449695668,,,,NO
RQ1_20260914T175757Z,normal,Q008,base,baseline,3,M095446,1.0000001192092896,0.6919978517722879,,,,>30
RQ1_20260914T175757Z,normal,Q008,base,baseline,4,M092915,0.9998024702072144,0.5355352667382742,,,,<30
RQ1_20260914T175757Z,normal,Q008,base,baseline,5,M081790,0.9997596740722656,0.7090046544933762,,,,NO
RQ1_20260914T175757Z,normal,Q008,base,sacr,1,M084575,1.0000001192092896,0.8571428571428571,1.0,1.0,1.0000001192092896,>30
RQ1_20260914T175757Z,normal,Q008,base,sacr,2,M076048,0.9997464418411255,0.8518617973505191,0.9964285714285713,1.0,0.9989550113677979,NO
RQ1_20260914T175757Z,normal,Q008,base,sacr,3,M065714,0.9995644688606262,0.707124955245256,0.994942748091603,1.0,0.9984743595123291,NO
RQ1_20260914T175757Z,normal,Q008,base,sacr,4,M076797,0.9991171956062317,0.7090046544933762,0.9942475463467829,1.0,0.9980322122573853,NO
RQ1_20260914T175757Z,normal,Q008,base,sacr,5,M063614,0.9990450143814087,0.8069638381668457,0.9942475463467829,1.0,0.9979889392852783,>30
RQ1_20260914T175757Z,normal,Q008,shifted,baseline,1,M084575,1.0000001192092896,0.8571428571428571,,,,>30
RQ1_20260914T175757Z,normal,Q008,shifted,baseline,2,M077672,1.0000001192092896,0.6994808449695668,,,,NO
RQ1_20260914T175757Z,normal,Q008,shifted,baseline,3,M095446,1.0000001192092896,0.6919978517722879,,,,>30
RQ1_20260914T175757Z,normal,Q008,shifted,baseline,4,M092915,0.9998024702072144,0.5355352667382742,,,,<30
RQ1_20260914T175757Z,normal,Q008,shifted,baseline,5,M081790,0.9997596740722656,0.7090046544933762,,,,NO
RQ1_20260914T175757Z,normal,Q008,shifted,sacr,1,M084575,1.0000001192092896,0.8571428571428571,1.0,1.0,1.0000001192092896,>30
RQ1_20260914T175757Z,normal,Q008,shifted,sacr,2,M076048,0.9997464418411255,0.9947189402076619,0.9964285714285713,1.0,0.9989550113677979,NO
RQ1_20260914T175757Z,normal,Q008,shifted,sacr,3,M065714,0.9995644688606262,0.707124955245256,0.994942748091603,1.0,0.9984743595123291,NO
RQ1_20260914T175757Z,normal,Q008,shifted,sacr,4,M076797,0.9991171956062317,0.8518617973505191,0.9942475463467829,1.0,0.9980322122573853,NO
RQ1_20260914T175757Z,normal,Q008,shifted,sacr,5,M063614,0.9990450143814087,0.8069638381668457,0.9942475463467829,1.0,0.9979889392852783,>30
RQ1_20260914T175757Z,normal,Q009,base,baseline,1,M059479,1.0000001192092896,0.9863945578231293,,,,<30
RQ1_20260914T175757Z,normal,Q009,base,baseline,2,M036132,0.9998601675033569,0.5292517006802722,,,,NO
RQ1_20260914T175757Z,normal,Q009,base,baseline,3,M062630,0.9998169541358948,0.5414965986394558,,,,NO
RQ1_20260914T175757Z,normal,Q009,base,baseline,4,M050160,0.9997589588165283,0.6702291442892946,,,,>30
RQ1_20260914T175757Z,normal,Q009,base,baseline,5,M063761,0.9996360540390015,0.5201754385964913,,,,>30
RQ1_20260914T175757Z,normal,Q009,base,sacr,1,M059479,1.0000001192092896,0.9863945578231293,1.0,1.0,1.0000001192092896,<30
RQ1_20260914T175757Z,normal,Q009,base,sacr,2,M022445,0.9995251893997192,0.8122448979591838,0.9971237731733914,1.0,0.9989960193634033,NO
RQ1_20260914T175757Z,normal,Q009,base,sacr,3,M053522,0.999415397644043,0.8435374149659864,0.9902808069792803,1.0,0.997219443321228,NO
RQ1_20260914T175757Z,normal,Q009,base,sacr,4,M043070,0.998935341835022,0.8312925170068028,0.9899809160305343,1.0,0.9968564510345459,NO
RQ1_20260914T175757Z,normal,Q009,base,sacr,5,M076903,0.9993971586227417,0.8054421768707484,0.9877044711014176,1.0,0.996564507484436,NO
RQ1_20260914T175757Z,normal,Q009,shifted,baseline,1,M059479,1.0000001192092896,0.9591836734693878,,,,<30
RQ1_20260914T175757Z,normal,Q009,shifted,baseline,2,M036132,0.9998601675033569,0.5020408163265306,,,,NO
RQ1_20260914T175757Z,normal,Q009,shifted,baseline,3,M062630,0.9998169541358948,0.5142857142857142,,,,NO
RQ1_20260914T175757Z,normal,Q009,shifted,baseline,4,M050160,0.9997589588165283,0.6430182599355533,,,,>30
RQ1_20260914T175757Z,normal,Q009,shifted,baseline,5,M063761,0.9996360540390015,0.4929645542427497,,,,>30
RQ1_20260914T175757Z,normal,Q009,shifted,sacr,1,M059479,1.0000001192092896,0.9591836734693878,1.0,1.0,1.0000001192092896,<30
RQ1_20260914T175757Z,normal,Q009,shifted,sacr,2,M022445,0.9995251893997192,0.7850340136054422,0.9971237731733914,1.0,0.9989960193634033,NO
RQ1_20260914T175757Z,normal,Q009,shifted,sacr,3,M053522,0.999415397644043,0.8163265306122449,0.9902808069792803,1.0,0.997219443321228,NO
RQ1_20260914T175757Z,normal,Q009,shifted,sacr,4,M043070,0.998935341835022,0.8040816326530612,0.9899809160305343,1.0,0.9968564510345459,NO
RQ1_20260914T175757Z,normal,Q009,shifted,sacr,5,M076903,0.9993971586227417,0.7782312925170068,0.9877044711014176,1.0,0.996564507484436,NO
RQ1_20260914T175757Z,normal,Q010,base,baseline,1,M056742,1.0,0.9962406015037594,,,,>30
RQ1_20260914T175757Z,normal,Q010,base,baseline,2,M070305,0.9997192025184631,0.6846759756534192,,,,>30
RQ1_20260914T175757Z,normal,Q010,base,baseline,3,M093113,0.999483585357666,0.6588256355173648,,,,<30
RQ1_20260914T175757Z,normal,Q010,base,baseline,4,M086442,0.999469518661499,0.6812746151092016,,,,NO
RQ1_20260914T175757Z,normal,Q010,base,baseline,5,M070100,0.9994654655456543,0.7870748299319728,,,,>30
RQ1_20260914T175757Z,normal,Q010,base,sacr,1,M056742,1.0,0.9962406015037594,1.0,1.0,1.0,>30
RQ1_20260914T175757Z,normal,Q010,base,sacr,2,M020473,0.9994295835494995,0.9799140708915146,0.9931570338058887,1.0,0.9979469776153564,<30
RQ1_20260914T175757Z,normal,Q010,base,sacr,3,M022852,0.9990639686584473,0.8180093089867526,0.9924618320610687,1.0,0.9975539445877075,>30
RQ1_20260914T175757Z,normal,Q010,base,sacr,4,M070100,0.9994654655456543,0.7870748299319728,0.9857142857142858,1.0,0.996107816696167,>30
RQ1_20260914T175757Z,normal,Q010,base,sacr,5,M085336,0.9990699887275696,0.8171679197994987,0.9820474372955289,1.0,0.9949538707733154,NO
RQ1_20260914T175757Z,normal,Q010,shifted,baseline,1,M056742,1.0,0.9887218045112781,,,,>30
RQ1_20260914T175757Z,normal,Q010,shifted,baseline,2,M070305,0.9997192025184631,0.677157178660938,,,,>30
RQ1_20260914T175757Z,normal,Q010,shifted,baseline,3,M093113,0.999483585357666,0.6513068385248836,,,,<30
RQ1_20260914T175757Z,normal,Q010,shifted,baseline,4,M086442,0.999469518661499,0.6737558181167204,,,,NO
RQ1_20260914T175757Z,normal,Q010,shifted,baseline,5,M070100,0.9994654655456543,0.7795560329394916,,,,>30
RQ1_20260914T175757Z,normal,Q010,shifted,sacr,1,M056742,1.0,0.9887218045112781,1.0,1.0,1.0,>30
RQ1_20260914T175757Z,normal,Q010,shifted,sacr,2,M020473,0.9994295835494995,0.9723952738990332,0.9931570338058887,1.0,0.9979469776153564,<30
RQ1_20260914T175757Z,normal,Q010,shifted,sacr,3,M022852,0.9990639686584473,0.8104905119942714,0.9924618320610687,1.0,0.9975539445877075,>30
RQ1_20260914T175757Z,normal,Q010,shifted,sacr,4,M070100,0.9994654655456543,0.7795560329394916,0.9857142857142858,1.0,0.996107816696167,>30
RQ1_20260914T175757Z,normal,Q010,shifted,sacr,5,M085336,0.9990699887275696,0.8096491228070175,0.9820474372955289,1.0,0.9949538707733154,NO
RQ1_20260914T175757Z,normal,Q011,base,baseline,1,M043191,1.0000001192092896,0.9714285714285714,,,,NO
RQ1_20260914T175757Z,normal,Q011,base,baseline,2,M042153,1.0000001192092896,0.9714285714285714,,,,<30
RQ1_20260914T175757Z,normal,Q011,base,baseline,3,M063474,1.0000001192092896,0.8285714285714285,,,,NO
RQ1_20260914T175757Z,normal,Q011,base,baseline,4,M042506,1.0000001192092896,0.8025241675617615,,,,>30
RQ1_20260914T175757Z,normal,Q011,base,baseline,5,M089762,0.999800980091095,0.7047619047619048,,,,NO
RQ1_20260914T175757Z,normal,Q011,base,sacr,1,M043191,1.0000001192092896,0.9714285714285714,1.0,1.0,1.0000001192092896,NO
RQ1_20260914T175757Z,normal,Q011,base,sacr,2,M042153,1.0000001192092896,0.9714285714285714,1.0,1.0,1.0000001192092896,<30
RQ1_20260914T175757Z,normal,Q011,base,sacr,3,M063474,1.0000001192092896,0.8285714285714285,1.0,1.0,1.0000001192092896,NO
RQ1_20260914T175757Z,normal,Q011,base,sacr,4,M042506,1.0000001192092896,0.8025241675617615,1.0,1.0,1.0000001192092896,>30
RQ1_20260914T175757Z,normal,Q011,base,sacr,5,M089762,0.999800980091095,0.7047619047619048,0.9964285714285713,1.0,0.9989877939224243,NO
RQ1_20260914T175757Z,normal,Q011,shifted,baseline,1,M043191,1.0000001192092896,1.0,,,,NO
RQ1_20260914T175757Z,normal,Q011,shifted,baseline,2,M042153,1.0000001192092896,1.0,,,,<30
