condition,round,memory_id,action,retrieval_count,average_utility,negative_feedback_count,quality_score,reason
ogmm,51,M042153,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,54,M035347,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,55,M101026,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,59,M046472,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,59,M026024,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,59,M043388,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,82,M045979,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,90,M088598,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,99,M044045,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,102,M045979,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,110,M088598,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,119,M044045,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
ogmm,142,M058605,downgraded,2,-1.0,2,0.30000000000000004,quality_score=0.3000 < DOWNGRADE_THRESHOLD=0.4
ogmm,162,M058605,quarantined,3,-1.0,3,0.20000000000000004,retrieval_count=3>=N_MIN=3 and average_utility=-1.0000<=BETA=-0.2
